date,Vmax,level,V,perc,Diff.1000,Qin,Qout,Qin_calc,neg_Qin,Qin_calc_interp,Qout_calc,Qin_calc_before_interp
2020-11-21,165.26,414.843,113.207,68.5023599177054%,-175.000000000011,8.11712962962983,10.1425925925928,8.11712962962971,NA,8.11712962962971,10.1425925925928,8.11712962962971
2020-11-22,165.26,414.889,113.425,68.6342732663682%,218.000000000004,7.0069444444444,4.4837962962962,7.00694444444439,NA,7.00694444444439,4.4837962962962,7.00694444444439
2020-11-23,165.26,414.92,113.571,68.7226189035459%,146.000000000001,6.38657407407418,4.69675925925935,6.38657407407417,NA,6.38657407407417,4.69675925925935,6.38657407407417
2020-11-24,165.26,414.92,113.571,68.7226189035459%,0,8.52606787972645,8.52606787972645,8.52606787972645,NA,8.52606787972645,8.52606787972645,8.52606787972645
2020-11-25,165.26,414.64,112.25,67.9232724192182%,-1321,11.2661408450704,11.2661408450704,8.16928393986322,negative,8.16928393986322,23.458635791715,NA
2020-11-26,165.26,414.23,110.333,66.7632821009319%,-1917,7.8125,30,7.81249999999998,NA,7.81249999999998,30,7.81249999999998
2020-11-27,165.26,413.688,107.83,65.2486990197265%,-2503,3.51915856481479,32.4890659722222,3.51915856481479,NA,3.51915856481479,32.4890659722222,3.51915856481479
2020-11-28,165.26,413.79,108.299,65.5324942514825%,469.000000000008,13.4639560185186,8.0357152777778,13.4639560185186,NA,13.4639560185186,8.0357152777778,13.4639560185186
2020-11-29,165.26,415.846,118.002,71.4038484811812%,9702.99999999999,130.236733796296,17.9334930555555,130.236733796296,NA,130.236733796296,17.9334930555555,130.236733796296
2020-11-30,165.26,417.06,123.947,75.0012102142079%,5945.00000000001,119.424394675926,50.6165243055555,119.424394675926,NA,119.424394675926,50.6165243055555,119.424394675926
2020-12-01,165.26,416.9,123.153,74.5207551736658%,-793.999999999997,45.0840046296297,54.2738194444445,45.0840046296297,NA,45.0840046296297,54.2738194444445,45.0840046296297
2020-12-02,165.26,416.63,121.822,73.7153576182985%,-1331,29.6738202993935,45.0789128919861,29.6738202993935,NA,29.6738202993935,45.0789128919861,29.6738202993935
2020-12-03,165.26,416.6,121.675,73.6264068740167%,-147.000000000006,24.2070069444446,25.9083958333334,24.2070069444444,NA,24.2070069444444,25.9083958333334,24.2070069444444
2020-12-04,165.26,416.734,122.334,74.0251724555246%,659.000000000006,21.8536932870369,14.2263784722222,21.8536932870371,NA,21.8536932870371,14.2263784722222,21.8536932870371
2020-12-05,165.26,417.08,124.046,75.0611158174997%,1712,19.8277068008775,0.0128919860627177,19.8277068008776,NA,19.8277068008776,0.0128919860627192,19.8277068008776
2020-12-06,165.26,417.39,125.597,75.9996369357376%,1550.99999999999,17.9636536972513,0.0122648083623693,17.9636536972511,NA,17.9636536972511,0.0122648083623709,17.9636536972511
2020-12-07,165.26,417.31,125.194,75.7557787728428%,-402.999999999992,13.2442665227064,17.9086183745583,13.2442665227065,NA,13.2442665227065,17.9086183745583,13.2442665227065
2020-12-08,165.26,416.829,122.803,74.3089676872806%,-2391.00000000001,10.471748319494,38.145359430605,10.4717483194938,NA,10.4717483194938,38.145359430605,10.4717483194938
2020-12-09,165.26,416.518,121.272,73.3825487111219%,-1530.99999999999,11.4658800490385,29.185787456446,11.4658800490387,NA,11.4658800490387,29.185787456446,11.4658800490387
2020-12-10,165.26,416.62,121.773,73.6857073702045%,500.999999999991,12.7899201388889,6.99130902777777,12.7899201388888,NA,12.7899201388888,6.99130902777777,12.7899201388888
2020-12-11,165.26,416.83,122.807,74.3113881156965%,1034.00000000001,11.9789432870369,0.0113506944444444,11.9789432870371,NA,11.9789432870371,0.0113506944444453,11.9789432870371
2020-12-12,165.26,417.034,123.818,74.9231513977974%,1011,11.7143434343436,0.0129545454545454,11.7143434343434,NA,11.7143434343434,0.0129545454545461,11.7143434343434
2020-12-13,165.26,417.23,124.794,75.5137359312598%,975.999999999999,11.3106660146061,0.0143697183098591,11.3106660146061,NA,11.3106660146061,0.0143697183098599,11.3106660146061
2020-12-14,165.26,417.416,125.727,76.0783008592521%,933.000000000007,10.8129456058846,0.0143344947735191,10.8129456058847,NA,10.8129456058847,0.0143344947735198,10.8129456058847
2020-12-15,165.26,417.594,126.626,76.6222921457098%,899.000000000001,10.4192184667185,0.0141258741258741,10.4192184667185,NA,10.4192184667185,0.0141258741258738,10.4192184667185
2020-12-16,165.26,417.76,127.47,77.1330025414498%,843.999999999994,9.78467531294353,0.0161567944250871,9.78467531294354,NA,9.78467531294354,0.0161567944250862,9.78467531294354
2020-12-17,165.26,417.93,128.339,77.6588406147888%,869,10.0740968512066,0.0162264808362369,10.0740968512066,NA,10.0740968512066,0.0162264808362362,10.0740968512066
2020-12-18,165.26,418.088,129.151,78.1501875832022%,812.000000000012,9.41407821807836,0.0159300699300699,9.41407821807836,NA,9.41407821807836,0.0159300699300697,9.41407821807836
2020-12-19,165.26,418.28,130.143,78.750453830328%,991.99999999999,11.4993877314814,0.0179062499999999,11.4993877314814,NA,11.4993877314814,0.0179062499999993,11.4993877314814
2020-12-20,165.26,418.47,131.13,79.3476945419339%,986.999999999995,11.441367208672,0.0177560975609755,11.441367208672,NA,11.441367208672,0.0177560975609747,11.441367208672
2020-12-21,165.26,418.64,132.017,79.8844245431441%,887,10.2840335648148,0.017829861111111,10.2840335648148,NA,10.2840335648148,0.0178298611111103,10.2840335648148
2020-12-22,165.26,418.79,132.802,80.3594336197507%,784.999999999997,9.16483912037034,0.0791909722222225,9.16483912037033,NA,9.16483912037033,0.0791909722222233,9.16483912037033
2020-12-23,165.26,418.94,133.59,80.8362580176691%,788.000000000011,9.13759259259272,0.0172222222222222,9.13759259259272,NA,9.13759259259272,0.0172222222222214,9.13759259259272
2020-12-24,165.26,419.08,134.328,81.2828270603897%,738,8.55908680555556,0.0174201388888888,8.55908680555555,NA,8.55908680555555,0.0174201388888893,8.55908680555555
2020-12-25,165.26,419.22,135.07,81.7318165315261%,741.99999999999,8.97027546296285,0.3823125,8.97027546296285,NA,8.97027546296285,0.382312499999999,8.97027546296285
2020-12-26,165.26,419.351,135.766,82.1529710758804%,695.999999999998,8.07085069444475,0.0152951388888889,8.07085069444442,NA,8.07085069444442,0.0152951388888898,8.07085069444442
2020-12-27,165.26,419.474,136.421,82.5493162289725%,655.000000000001,7.59473180523182,0.0137132867132867,7.59473180523182,NA,7.59473180523182,0.013713286713287,7.59473180523182
2020-12-28,165.26,419.596,137.074,82.9444511678567%,653.00000000002,7.56986687386678,0.0119965034965035,7.56986687386711,NA,7.56986687386711,0.0119965034965039,7.56986687386711
2020-12-29,165.26,419.72,137.74,83.3474524990923%,665.999999999997,7.7209895833333,0.01265625,7.7209895833333,NA,7.7209895833333,0.01265625,7.7209895833333
2020-12-30,165.26,419.84,138.386,83.7383516882488%,645.999999999987,7.48949074074059,0.0126388888888889,7.48949074074059,NA,7.48949074074059,0.0126388888888886,7.48949074074059
2020-12-31,165.26,419.85,138.44,83.7710274718625%,54.000000000002,6.81802777777777,6.19302777777775,6.81802777777777,NA,6.81802777777777,6.19302777777775,6.81802777777777
2021-01-01,165.26,419.908,138.753,83.9604259954012%,312.999999999988,7.30773032407424,3.68504513888886,7.30773032407391,NA,7.30773032407391,3.68504513888886,7.30773032407391
2021-01-02,165.26,419.916,138.796,83.9864456008714%,43.0000000000064,6.37207754629634,5.87439236111108,6.37207754629634,NA,6.37207754629634,5.87439236111108,6.37207754629634
2021-01-03,165.26,419.6,137.096,82.9577635241438%,-1699.99999999999,4.41149421296274,24.0874201388889,4.4114942129631,NA,4.4114942129631,24.0874201388889,4.4114942129631
2021-01-04,165.26,418.87,133.222,80.6135786034128%,-3874,1.57279050925924,46.4107534722222,1.57279050925928,NA,1.57279050925928,46.4107534722222,1.57279050925928
2021-01-05,165.26,418.45,131.026,79.2847634031224%,-2196,2.82226041666663,28.2389270833333,2.82226041666666,NA,2.82226041666666,28.2389270833333,2.82226041666666
2021-01-06,165.26,418.21,129.781,78.5314050586954%,-1245,4.23791666666658,18.6476388888888,4.23791666666652,NA,4.23791666666652,18.6476388888888,4.23791666666652
2021-01-07,165.26,417.55,126.403,76.4873532615273%,-3378,4.23791666666658,38.5422291666666,4.42114293981468,negative,4.42114293981468,43.5183651620369,NA
2021-01-08,165.26,417.42,125.747,76.0904030013312%,-656.000000000006,4.60436921296284,12.1969618055555,4.60436921296284,NA,4.60436921296284,12.1969618055555,4.60436921296284
2021-01-09,165.26,417.53,126.302,76.4262374440276%,555.000000000007,6.43249652777786,0.00888541666666665,6.43249652777786,NA,6.43249652777786,0.00888541666666676,6.43249652777786
2021-01-10,165.26,417.669,127.006,76.8522328452136%,703.999999999994,8.15814120370363,0.0099930555555555,8.15814120370363,NA,8.15814120370363,0.0099930555555563,8.15814120370363
2021-01-11,165.26,417.8,127.674,77.2564443906572%,668.000000000006,7.74237731481488,0.0108958333333333,7.74237731481489,NA,7.74237731481489,0.0108958333333335,7.74237731481489
2021-01-12,165.26,417.93,128.339,77.6588406147888%,664.999999999992,7.70855020002572,0.0117909407665505,7.70855020002572,NA,7.70855020002572,0.0117909407665504,7.70855020002572
2021-01-13,165.26,418.041,128.91,78.0043567711485%,570.999999999998,6.61961574074072,0.0108194444444444,6.61961574074072,NA,6.61961574074072,0.0108194444444445,6.61961574074072
2021-01-14,165.26,418.15,129.471,78.3438218564686%,561.000000000007,6.50403472222231,0.0109791666666666,6.5040347222223,NA,6.5040347222223,0.010979166666667,6.5040347222223
2021-01-15,165.26,418.262,130.05,78.6941788696599%,579.000000000008,6.74856371406381,0.0471748251748251,6.7485637140638,NA,6.7485637140638,0.0471748251748254,6.7485637140638
2021-01-16,165.26,418.36,130.558,79.0015732784703%,507.999999999981,5.89150991131955,0.0118802816901408,5.89150991131956,NA,5.89150991131956,0.0118802816901411,5.89150991131956
2021-01-17,165.26,418.472,131.14,79.3537456129735%,581.999999999994,6.74881740481766,0.0127062937062937,6.74881740481733,NA,6.74881740481733,0.0127062937062936,6.74881740481733
2021-01-18,165.26,418.492,131.244,79.4166767517851%,104.000000000013,5.84866886049795,4.64496515679442,5.84866886049828,NA,5.84866886049828,4.64496515679442,5.84866886049828
2021-01-19,165.26,418.57,131.651,79.6629553430958%,407.000000000011,6.71070041295664,2.00005226480836,6.71070041295663,NA,6.71070041295663,2.00005226480836,6.71070041295663
2021-01-20,165.26,418.39,130.714,79.0959699866876%,-937.000000000012,4.91480439814805,15.7597118055556,4.91480439814806,NA,4.91480439814806,15.7597118055556,4.91480439814806
2021-01-21,165.26,418.36,130.558,79.0015732784703%,-156.000000000006,6.13277777777769,7.93833333333331,6.13277777777769,NA,6.13277777777769,7.93833333333331,6.13277777777769
